country,date,sector,value,timestamp
India,1/2/2019,Power,3.30903,1548950400
Italy,1/2/2019,Power,0.317607,1548950400
Japan,1/2/2019,Power,1.88279,1548950400
ROW,1/2/2019,Power,13.0646,1548950400
Russia,1/2/2019,Power,2.86963,1548950400
Spain,1/2/2019,Power,0.098577,1548950400
UK,1/2/2019,Power,0.324878,1548950400
US,1/2/2019,Power,5.27256,1548950400
WORLD,1/2/2019,Power,40.3347,1548950400
Brazil,2/2/2019,Power,0.190825,1549036800
China,2/2/2019,Power,9.92094,1549036800
EU27 & UK,2/2/2019,Power,3.22077,1549036800
France,2/2/2019,Power,0.1268,1549036800
Germany,2/2/2019,Power,0.940325,1549036800
India,2/2/2019,Power,3.29944,1549036800
Italy,2/2/2019,Power,0.219494,1549036800
Japan,2/2/2019,Power,1.64145,1549036800
ROW,2/2/2019,Power,11.4175,1549036800
Russia,2/2/2019,Power,2.86412,1549036800
Spain,2/2/2019,Power,0.087285,1549036800
UK,2/2/2019,Power,0.254697,1549036800
US,2/2/2019,Power,4.06666,1549036800
WORLD,2/2/2019,Power,36.6217,1549036800
Brazil,3/2/2019,Power,0.197582,1549123200
China,3/2/2019,Power,9.5903,1549123200
EU27 & UK,3/2/2019,Power,2.89764,1549123200
France,3/2/2019,Power,0.102993,1549123200
Germany,3/2/2019,Power,0.843479,1549123200
India,3/2/2019,Power,3.19869,1549123200
Italy,3/2/2019,Power,0.181634,1549123200
Japan,3/2/2019,Power,1.51888,1549123200
ROW,3/2/2019,Power,10.4748,1549123200
Russia,3/2/2019,Power,2.78731,1549123200
Spain,3/2/2019,Power,0.100623,1549123200
UK,3/2/2019,Power,0.233458,1549123200
US,3/2/2019,Power,3.53747,1549123200
WORLD,3/2/2019,Power,34.2027,1549123200
Brazil,4/2/2019,Power,0.210417,1549209600
China,4/2/2019,Power,9.24468,1549209600
EU27 & UK,4/2/2019,Power,3.3541,1549209600
France,4/2/2019,Power,0.15174,1549209600
Germany,4/2/2019,Power,0.885186,1549209600
India,4/2/2019,Power,3.27665,1549209600
Italy,4/2/2019,Power,0.311532,1549209600
Japan,4/2/2019,Power,1.57811,1549209600
ROW,4/2/2019,Power,11.2441,1549209600
Russia,4/2/2019,Power,2.85065,1549209600
Spain,4/2/2019,Power,0.186407,1549209600
UK,4/2/2019,Power,0.270799,1549209600
US,4/2/2019,Power,3.98007,1549209600
WORLD,4/2/2019,Power,35.7387,1549209600
Brazil,5/2/2019,Power,0.222867,1549296000
China,5/2/2019,Power,8.88126,1549296000
