,country,sector,value,timestamp,year,month,day
338,EU27 & UK,Power,3.8955800000000003,1548345600,2019,1,25
339,France,Power,0.162476,1548345600,2019,1,25
340,Germany,Power,1.0978299999999999,1548345600,2019,1,25
341,India,Power,3.3126300000000004,1548345600,2019,1,25
342,Italy,Power,0.357802,1548345600,2019,1,25
343,Japan,Power,1.8879,1548345600,2019,1,25
344,ROW,Power,13.2733,1548345600,2019,1,25
345,Russia,Power,3.03189,1548345600,2019,1,25
346,Spain,Power,0.186639,1548345600,2019,1,25
347,UK,Power,0.274069,1548345600,2019,1,25
348,US,Power,5.28852,1548345600,2019,1,25
349,WORLD,Power,43.4791,1548345600,2019,1,25
350,Brazil,Power,0.15731199999999998,1548432000,2019,1,26
351,China,Power,12.433,1548432000,2019,1,26
352,EU27 & UK,Power,2.92543,1548432000,2019,1,26
353,France,Power,0.131209,1548432000,2019,1,26
354,Germany,Power,0.801817,1548432000,2019,1,26
355,India,Power,3.08835,1548432000,2019,1,26
356,Italy,Power,0.260228,1548432000,2019,1,26
357,Japan,Power,1.7971599999999999,1548432000,2019,1,26
358,ROW,Power,12.0663,1548432000,2019,1,26
359,Russia,Power,3.00415,1548432000,2019,1,26
360,Spain,Power,0.152255,1548432000,2019,1,26
361,UK,Power,0.157723,1548432000,2019,1,26
362,US,Power,5.0537,1548432000,2019,1,26
363,WORLD,Power,40.5254,1548432000,2019,1,26
364,Brazil,Power,0.150393,1548518400,2019,1,27
365,China,Power,11.6294,1548518400,2019,1,27
366,EU27 & UK,Power,2.3658,1548518400,2019,1,27
367,France,Power,0.06856,1548518400,2019,1,27
368,Germany,Power,0.634529,1548518400,2019,1,27
369,India,Power,3.07996,1548518400,2019,1,27
370,Italy,Power,0.23965799999999998,1548518400,2019,1,27
371,Japan,Power,1.65967,1548518400,2019,1,27
372,ROW,Power,10.9887,1548518400,2019,1,27
373,Russia,Power,2.95527,1548518400,2019,1,27
374,Spain,Power,0.080294,1548518400,2019,1,27
375,UK,Power,0.14671800000000002,1548518400,2019,1,27
376,US,Power,4.676819999999999,1548518400,2019,1,27
377,WORLD,Power,37.506,1548518400,2019,1,27
378,Brazil,Power,0.15903699999999998,1548604800,2019,1,28
379,China,Power,11.8944,1548604800,2019,1,28
380,EU27 & UK,Power,3.36599,1548604800,2019,1,28
381,France,Power,0.130237,1548604800,2019,1,28
382,Germany,Power,0.9186989999999999,1548604800,2019,1,28
383,India,Power,3.2478599999999997,1548604800,2019,1,28
384,Italy,Power,0.311083,1548604800,2019,1,28
385,Japan,Power,1.9222700000000001,1548604800,2019,1,28
386,ROW,Power,12.7501,1548604800,2019,1,28
387,Russia,Power,3.0083599999999997,1548604800,2019,1,28
388,Spain,Power,0.116801,1548604800,2019,1,28
389,UK,Power,0.281902,1548604800,2019,1,28
390,US,Power,4.74097,1548604800,2019,1,28
391,WORLD,Power,41.0891,1548604800,2019,1,28
392,Brazil,Power,0.181003,1548691200,2019,1,29
393,China,Power,11.1995,1548691200,2019,1,29
394,EU27 & UK,Power,3.79072,1548691200,2019,1,29
395,France,Power,0.152671,1548691200,2019,1,29
396,Germany,Power,1.0434,1548691200,2019,1,29
397,India,Power,3.3222300000000002,1548691200,2019,1,29
398,Italy,Power,0.36772,1548691200,2019,1,29
399,Japan,Power,1.8812200000000001,1548691200,2019,1,29
400,ROW,Power,13.2476,1548691200,2019,1,29
401,Russia,Power,2.97125,1548691200,2019,1,29
402,Spain,Power,0.14719000000000002,1548691200,2019,1,29
403,UK,Power,0.34031300000000003,1548691200,2019,1,29
404,US,Power,5.48106,1548691200,2019,1,29
405,WORLD,Power,42.0745,1548691200,2019,1,29
406,Brazil,Power,0.185643,1548777600,2019,1,30
407,China,Power,11.1067,1548777600,2019,1,30
408,EU27 & UK,Power,3.86465,1548777600,2019,1,30
409,France,Power,0.153148,1548777600,2019,1,30
410,Germany,Power,1.02027,1548777600,2019,1,30
411,India,Power,3.40018,1548777600,2019,1,30
412,Italy,Power,0.37706100000000004,1548777600,2019,1,30
413,Japan,Power,1.86789,1548777600,2019,1,30
414,ROW,Power,13.4834,1548777600,2019,1,30
415,Russia,Power,2.89075,1548777600,2019,1,30
416,Spain,Power,0.151125,1548777600,2019,1,30
417,UK,Power,0.372393,1548777600,2019,1,30
418,US,Power,6.01762,1548777600,2019,1,30
419,WORLD,Power,42.8169,1548777600,2019,1,30
420,Brazil,Power,0.196001,1548864000,2019,1,31
421,China,Power,10.8679,1548864000,2019,1,31
422,EU27 & UK,Power,3.89718,1548864000,2019,1,31
423,France,Power,0.159499,1548864000,2019,1,31
424,Germany,Power,1.09205,1548864000,2019,1,31
425,India,Power,3.3786,1548864000,2019,1,31
426,Italy,Power,0.33434400000000003,1548864000,2019,1,31
427,Japan,Power,1.9630400000000001,1548864000,2019,1,31
428,ROW,Power,13.8351,1548864000,2019,1,31
429,Russia,Power,2.8641,1548864000,2019,1,31
430,Spain,Power,0.11024,1548864000,2019,1,31
431,UK,Power,0.363413,1548864000,2019,1,31
432,US,Power,6.07503,1548864000,2019,1,31
433,WORLD,Power,43.0769,1548864000,2019,1,31
434,Brazil,Power,0.199103,1548950400,2019,2,1
435,China,Power,10.1111,1548950400,2019,2,1
436,EU27 & UK,Power,3.6259099999999997,1548950400,2019,2,1
437,France,Power,0.142535,1548950400,2019,2,1
438,Germany,Power,1.0095299999999998,1548950400,2019,2,1
439,India,Power,3.3090300000000004,1548950400,2019,2,1
440,Italy,Power,0.31760700000000003,1548950400,2019,2,1
441,Japan,Power,1.8827900000000002,1548950400,2019,2,1
442,ROW,Power,13.0646,1548950400,2019,2,1
443,Russia,Power,2.86963,1548950400,2019,2,1
444,Spain,Power,0.098577,1548950400,2019,2,1
445,UK,Power,0.324878,1548950400,2019,2,1
446,US,Power,5.2725599999999995,1548950400,2019,2,1
447,WORLD,Power,40.3347,1548950400,2019,2,1
448,Brazil,Power,0.190825,1549036800,2019,2,2
449,China,Power,9.92094,1549036800,2019,2,2
450,EU27 & UK,Power,3.22077,1549036800,2019,2,2
451,France,Power,0.1268,1549036800,2019,2,2
452,Germany,Power,0.940325,1549036800,2019,2,2
453,India,Power,3.29944,1549036800,2019,2,2
454,Italy,Power,0.219494,1549036800,2019,2,2
455,Japan,Power,1.64145,1549036800,2019,2,2
456,ROW,Power,11.4175,1549036800,2019,2,2
457,Russia,Power,2.86412,1549036800,2019,2,2
458,Spain,Power,0.087285,1549036800,2019,2,2
459,UK,Power,0.254697,1549036800,2019,2,2
460,US,Power,4.06666,1549036800,2019,2,2
461,WORLD,Power,36.6217,1549036800,2019,2,2
462,Brazil,Power,0.19758199999999998,1549123200,2019,2,3
463,China,Power,9.5903,1549123200,2019,2,3
464,EU27 & UK,Power,2.89764,1549123200,2019,2,3
465,France,Power,0.102993,1549123200,2019,2,3
466,Germany,Power,0.8434790000000001,1549123200,2019,2,3
467,India,Power,3.19869,1549123200,2019,2,3
468,Italy,Power,0.181634,1549123200,2019,2,3
469,Japan,Power,1.51888,1549123200,2019,2,3
470,ROW,Power,10.4748,1549123200,2019,2,3
471,Russia,Power,2.7873099999999997,1549123200,2019,2,3
472,Spain,Power,0.100623,1549123200,2019,2,3
473,UK,Power,0.233458,1549123200,2019,2,3
474,US,Power,3.53747,1549123200,2019,2,3
475,WORLD,Power,34.2027,1549123200,2019,2,3
476,Brazil,Power,0.21041700000000002,1549209600,2019,2,4
477,China,Power,9.24468,1549209600,2019,2,4
478,EU27 & UK,Power,3.3541,1549209600,2019,2,4
479,France,Power,0.15174,1549209600,2019,2,4
480,Germany,Power,0.885186,1549209600,2019,2,4
481,India,Power,3.27665,1549209600,2019,2,4
482,Italy,Power,0.31153200000000003,1549209600,2019,2,4
483,Japan,Power,1.5781100000000001,1549209600,2019,2,4
484,ROW,Power,11.2441,1549209600,2019,2,4
485,Russia,Power,2.85065,1549209600,2019,2,4
486,Spain,Power,0.186407,1549209600,2019,2,4
487,UK,Power,0.27079899999999996,1549209600,2019,2,4
488,US,Power,3.9800699999999996,1549209600,2019,2,4
489,WORLD,Power,35.7387,1549209600,2019,2,4
490,Brazil,Power,0.222867,1549296000,2019,2,5
491,China,Power,8.881260000000001,1549296000,2019,2,5
492,EU27 & UK,Power,3.67425,1549296000,2019,2,5
493,France,Power,0.158769,1549296000,2019,2,5
494,Germany,Power,1.00514,1549296000,2019,2,5
495,India,Power,3.43736,1549296000,2019,2,5
496,Italy,Power,0.301444,1549296000,2019,2,5
497,Japan,Power,1.71692,1549296000,2019,2,5
498,ROW,Power,12.2008,1549296000,2019,2,5
499,Russia,Power,2.88369,1549296000,2019,2,5
500,Spain,Power,0.203433,1549296000,2019,2,5
501,UK,Power,0.311531,1549296000,2019,2,5
502,US,Power,4.39087,1549296000,2019,2,5
503,WORLD,Power,37.408,1549296000,2019,2,5
504,Brazil,Power,0.21601700000000001,1549382400,2019,2,6
505,China,Power,8.88875,1549382400,2019,2,6
506,EU27 & UK,Power,3.59921,1549382400,2019,2,6
507,France,Power,0.151056,1549382400,2019,2,6
508,Germany,Power,1.00525,1549382400,2019,2,6
509,India,Power,3.42297,1549382400,2019,2,6
510,Italy,Power,0.279861,1549382400,2019,2,6
511,Japan,Power,1.85992,1549382400,2019,2,6
512,ROW,Power,12.6909,1549382400,2019,2,6
513,Russia,Power,2.91692,1549382400,2019,2,6
514,Spain,Power,0.20499499999999998,1549382400,2019,2,6
515,UK,Power,0.260479,1549382400,2019,2,6
516,US,Power,4.426419999999999,1549382400,2019,2,6
517,WORLD,Power,38.0211,1549382400,2019,2,6
518,Brazil,Power,0.202087,1549468800,2019,2,7
519,China,Power,9.166939999999999,1549468800,2019,2,7
520,EU27 & UK,Power,3.06228,1549468800,2019,2,7
